INFO 2025-04-12 16:10:31,695 autoreload 10668 8128 Watching for file changes with StatReloader
WARNING 2025-04-12 16:12:28,658 log 10668 8660 Not Found: /
WARNING 2025-04-12 16:12:28,659 basehttp 10668 8660 "GET / HTTP/1.1" 404 2471
WARNING 2025-04-12 16:12:28,771 log 10668 8660 Not Found: /favicon.ico
WARNING 2025-04-12 16:12:28,771 basehttp 10668 8660 "GET /favicon.ico HTTP/1.1" 404 2522
WARNING 2025-04-12 16:14:52,434 log 10668 2136 Forbidden: /api/v1/users/
WARNING 2025-04-12 16:14:52,435 basehttp 10668 2136 "GET /api/v1/users/ HTTP/1.1" 403 4935
INFO 2025-04-12 16:14:52,715 basehttp 10668 8180 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-04-12 16:14:52,716 basehttp 10668 2136 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-04-12 16:14:52,721 basehttp 10668 8180 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-04-12 16:14:52,724 basehttp 10668 8572 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-04-12 16:14:52,726 basehttp 10668 9400 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-04-12 16:14:52,727 basehttp 10668 9400 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-04-12 16:14:52,729 basehttp 10668 8180 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-04-12 16:14:52,730 basehttp 10668 8572 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-04-12 16:14:52,730 basehttp 10668 2136 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-04-12 16:14:52,733 basehttp 10668 10944 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-04-12 16:14:52,739 basehttp 10668 9780 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-04-12 16:14:52,745 basehttp 10668 2136 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2025-04-12 16:15:03,816 log 10668 2136 Forbidden: /api/v1/users/
WARNING 2025-04-12 16:15:03,816 basehttp 10668 2136 "GET /api/v1/users/ HTTP/1.1" 403 4935
WARNING 2025-04-12 16:15:04,987 log 10668 2136 Forbidden: /api/v1/users/
WARNING 2025-04-12 16:15:04,988 basehttp 10668 2136 "GET /api/v1/users/ HTTP/1.1" 403 4935
INFO 2025-04-12 16:15:24,062 basehttp 10668 2136 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-12 16:15:24,127 basehttp 10668 2136 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4184
INFO 2025-04-12 16:15:24,170 basehttp 10668 9400 "GET /static/admin/css/login.css HTTP/1.1" 200 951
